"epoch","autoregressive_chignolin_muon_scaling_large_model_seed47_1000epochs - train/loss","autoregressive_chignolin_muon_scaling_large_model_seed47_1000epochs - train/loss__MIN","autoregressive_chignolin_muon_scaling_large_model_seed47_1000epochs - train/loss__MAX","autoregressive_chignolin_muon_scaling_large_model_seed47_1000epochs - _step","autoregressive_chignolin_muon_scaling_large_model_seed47_1000epochs - _step__MIN","autoregressive_chignolin_muon_scaling_large_model_seed47_1000epochs - _step__MAX","autoregressive_chignolin_muon_scaling_med_large_model_seed47_1000epochs - train/loss","autoregressive_chignolin_muon_scaling_med_large_model_seed47_1000epochs - train/loss__MIN","autoregressive_chignolin_muon_scaling_med_large_model_seed47_1000epochs - train/loss__MAX","autoregressive_chignolin_muon_scaling_med_large_model_seed47_1000epochs - _step","autoregressive_chignolin_muon_scaling_med_large_model_seed47_1000epochs - _step__MIN","autoregressive_chignolin_muon_scaling_med_large_model_seed47_1000epochs - _step__MAX","autoregressive_chignolin_muon_scaling_nominal_model_seed47_1000epochs - train/loss","autoregressive_chignolin_muon_scaling_nominal_model_seed47_1000epochs - train/loss__MIN","autoregressive_chignolin_muon_scaling_nominal_model_seed47_1000epochs - train/loss__MAX","autoregressive_chignolin_muon_scaling_nominal_model_seed47_1000epochs - _step","autoregressive_chignolin_muon_scaling_nominal_model_seed47_1000epochs - _step__MIN","autoregressive_chignolin_muon_scaling_nominal_model_seed47_1000epochs - _step__MAX","autoregressive_chignolin_muon_scaling_xsmall_model_seed47_1000epochs - train/loss","autoregressive_chignolin_muon_scaling_xsmall_model_seed47_1000epochs - train/loss__MIN","autoregressive_chignolin_muon_scaling_xsmall_model_seed47_1000epochs - train/loss__MAX","autoregressive_chignolin_muon_scaling_xsmall_model_seed47_1000epochs - _step","autoregressive_chignolin_muon_scaling_xsmall_model_seed47_1000epochs - _step__MIN","autoregressive_chignolin_muon_scaling_xsmall_model_seed47_1000epochs - _step__MAX"
"0","8.24061393737793","8.181588172912598","8.340068817138672","7","1","13","8.266605240958077","8.204742431640625","8.35412311553955","7","1","13","8.290732111249651","8.237070083618164","8.352270126342773","7","1","13","8.294518947601318","8.25255012512207","8.325080871582031","8","1","15"
"1","8.125483274459839","8.09001350402832","8.166391372680664","22","15","29","8.150014996528625","8.10837459564209","8.192407608032227","22","15","29","8.178377032279968","8.136905670166016","8.219218254089355","22","15","29","8.197473406791687","8.157803535461426","8.240124702453613","24","17","31"
"2","8.039037108421326","8.000936508178711","8.072748184204102","38","31","45","8.061352014541626","8.02173900604248","8.095890045166016","38","31","45","8.086132049560547","8.044665336608887","8.122693061828613","38","31","45","8.103286623954773","8.061081886291504","8.142727851867676","40","33","47"
"3","7.952679455280304","7.907225608825684","7.995962619781494","54","47","61","7.979513227939606","7.939619064331055","8.016378402709961","54","47","61","8.005277454853058","7.971062183380127","8.039691925048828","54","47","61","8.016021132469177","7.981245040893555","8.053264617919922","56","49","63"
"4","7.816015720367432","7.6974873542785645","7.894813060760498","70","63","77","7.87175726890564","7.808188438415527","7.930521011352539","70","63","77","7.921618640422821","7.88329553604126","7.962828159332275","70","63","77","7.940476894378662","7.9108710289001465","7.973702430725098","72","65","79"
"5","7.255826881953648","7.001865863800049","7.5683183670043945","85","79","91","7.637135301317487","7.377541542053223","7.786755084991455","85","79","91","7.818289279937744","7.7631378173828125","7.862976551055908","85","79","91","7.874759333474295","7.847604751586914","7.897643089294434","87","81","93"
"6","6.7179114818573","6.510929107666016","6.933670997619629","100","93","107","6.994121670722961","6.775672912597656","7.259464263916016","100","93","107","7.5949209332466125","7.360207557678223","7.738255500793457","100","93","107","7.788792252540588","7.747939109802246","7.830918788909912","102","95","109"
"7","6.265384793281555","6.0670270919799805","6.4606122970581055","116","109","123","6.532134115695953","6.354695796966553","6.711114406585693","116","109","123","7.003377139568329","6.760247707366943","7.276797771453857","116","109","123","7.6859376430511475","7.623887538909912","7.732386589050293","118","111","125"
"8","5.836078464984894","5.647562503814697","6.027864933013916","132","125","139","6.145180821418762","5.982304573059082","6.313299655914307","132","125","139","6.540908515453339","6.368100166320801","6.718332290649414","132","125","139","7.508474409580231","7.371720314025879","7.61347770690918","134","127","141"
"9","5.427058160305023","5.24213171005249","5.608555793762207","148","141","155","5.777057349681854","5.60784912109375","5.944061279296875","148","141","155","6.190483748912811","6.047168731689453","6.331439971923828","148","141","155","7.079864203929901","6.85407829284668","7.301671028137207","150","143","157"
"10","5.056385338306427","4.932526111602783","5.1822614669799805","164","157","171","5.420545995235443","5.277570724487305","5.557622909545898","164","157","171","5.878327250480652","5.743256568908691","6.007188320159912","164","157","171","6.617389023303986","6.447717666625977","6.7975053787231445","166","159","173"
"11","4.8152055740356445","4.7384867668151855","4.890974044799805","179","173","185","5.14156893321446","5.052526473999023","5.228173732757568","179","173","185","5.6078587259565085","5.51055908203125","5.703973293304443","179","173","185","6.288046768733433","6.186408519744873","6.395279884338379","181","175","187"
"12","4.631277441978455","4.574074745178223","4.695934295654297","194","187","201","4.929396212100983","4.867954254150391","4.998785972595215","194","187","201","5.350368559360504","5.259964942932129","5.450589179992676","194","187","201","6.045034408569336","5.960206508636475","6.132205963134766","196","189","203"
"13","4.507670283317566","4.464199066162109","4.564677715301514","210","203","217","4.777824759483337","4.721759796142578","4.841958999633789","210","203","217","5.123913526535034","5.03568696975708","5.2166218757629395","210","203","217","5.855639934539795","5.786221504211426","5.929298400878906","212","205","219"
"14","4.403346598148346","4.361502647399902","4.441222190856934","226","219","233","4.652695894241333","4.607743263244629","4.686913013458252","226","219","233","4.929633736610413","4.873199462890625","5.002040386199951","226","219","233","5.703707933425903","5.652315139770508","5.7593841552734375","228","221","235"
"15","4.3200594782829285","4.286869049072266","4.345264434814453","242","235","249","4.568291068077087","4.535372734069824","4.594736576080322","242","235","249","4.80092990398407","4.749663829803467","4.842426300048828","242","235","249","5.584249138832092","5.535639762878418","5.628411293029785","244","237","251"
"16","4.260264601026263","4.227487087249756","4.299473762512207","257","251","263","4.512780461992536","4.478507041931152","4.547346115112305","257","251","263","4.714217185974121","4.679296493530273","4.749855041503906","257","251","263","5.480973652430943","5.443962097167969","5.51375675201416","259","253","265"
"17","4.207999348640442","4.176366806030273","4.22890567779541","272","265","279","4.467320442199707","4.436564922332764","4.479543685913086","272","265","279","4.6385338306427","4.590489864349365","4.666635513305664","272","265","279","5.392101407051086","5.331687927246094","5.430209159851074","274","267","281"
"18","4.165737569332123","4.146237850189209","4.184071063995361","288","281","295","4.431832015514374","4.414609909057617","4.45285701751709","288","281","295","4.570659160614014","4.541357040405273","4.59915018081665","288","281","295","5.315360844135284","5.286633491516113","5.347578048706055","290","283","297"
"19","4.120529055595398","4.105031967163086","4.133707046508789","304","297","311","4.390841245651245","4.373230934143066","4.404082298278809","304","297","311","4.48931622505188","4.4553632736206055","4.52000093460083","304","297","311","5.2258798480033875","5.174762725830078","5.287910461425781","306","299","313"
"20","4.086660981178284","4.076625347137451","4.099055767059326","320","313","327","4.364362895488739","4.351188659667969","4.374125003814697","320","313","327","4.4295244216918945","4.409458637237549","4.4494829177856445","320","313","327","5.1334861516952515","5.099820613861084","5.1596479415893555","322","315","329"
"21","4.058600306510925","4.039928913116455","4.069833278656006","336","329","343","4.340399861335754","4.314079284667969","4.355532646179199","336","329","343","4.378066301345825","4.338818550109863","4.403743743896484","336","329","343","5.05961012840271","5.022968292236328","5.114834785461426","338","331","345"
"22","4.031986781529018","4.02312707901001","4.037630081176758","351","345","357","4.299962180001395","4.289046287536621","4.313307762145996","351","345","357","4.323682240077427","4.311923503875732","4.339308261871338","351","345","357","4.97764219556536","4.950418472290039","5.005622863769531","353","347","359"
"23","4.014385849237442","3.995495080947876","4.028759002685547","366","359","373","4.275479674339294","4.252954959869385","4.294637680053711","366","359","373","4.28332906961441","4.257478713989258","4.311772346496582","366","359","373","4.922270238399506","4.897687911987305","4.951765060424805","368","361","375"
"24","4.000455617904663","3.987436056137085","4.011296272277832","382","375","389","4.246375799179077","4.232085704803467","4.266916275024414","382","375","389","4.244941473007202","4.232253074645996","4.265598297119141","382","375","389","4.8722453117370605","4.849323272705078","4.913017749786377","384","377","391"
